Species,Mass(g),BMR (kJ/h),Timeb,Foodc,Climated,Habitate,Torpor?f,Migrationg,Islands?h,Mountains?i,Flightless?j,Reference
Scolopax minor,156.7,3.85,N,AI,T,F,N,Y,N,N,N,Vander Haegen et al. 1994
Scolopax rusticola,430,7.78,N,AI,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Somateria mollissima,1660,21.99,D,AI,P,M,N,Y,N,N,N,Jenssen et al. 1989
Streptopelia decaocto,170,3.42,N,S,T,B,N,N,N,N,N,Daan et al. 1990
Streptopelia senegalensis,108,3.05,N,S,TR,F,N,N,N,N,N,Kendeigh et al. 1977
Streptopelia turtur,154,4.1,N,S,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Strix occidentalis,571,9.63,D,V,T,F,N,N,N,N,N,Ganey et al. 1993
Tadorna variegata,1193.6,12.04,N,G,T,G,N,N,L,N,N,McNab 2003
Tetrao urogallus,3900,42.92,N,L,T,F,N,N,N,N,N,Kendeigh et al. 1977
Thinocorus rumicivorus,55.5,1.12,N,AI,T/TR,D,N,Y,N,N,N,Ehlers & Morton 1982
Trachyphonus darnaudii,36.6,0.79,N,O,TR,G,N,N,N,N,N,McNab 2001
Trichoglossus haematodous,137.1,4.3,N,P,TR,F,N,N,N,N,N,Williams et al. 1991
Tringa ochropus,90,3.32,N,AI,T,F,N,Y,N,N,N,Prinzinger & Hä
Uroglaux dimorpha,245.3,5.27,D,V/I,TR,F,N,N,N,N,N,"McNab, pers. obs."
Zenaida macroura,91.4,2.33,N,S,T,G,N,+/O,N,N,N,Hudson & Brush 1964
Acrocephalus palustris,10.8,0.73,N,I,T,B,N,Y,N,N,N,Kendeigh et al. 1977
Acrocephalus schoenobaenus,11.5,0.78,N,I,T,B,N,Y,N,N,N,Kendeigh et al. 1977
Aegithalos caudatus,8.9,0.72,N,I,T,F,N,+/O,N,N,N,Gavrilov & Dol’nik 1985
Aethopyga christinae,5.2,0.48,N,S,TR,F,N,N,N,N,N,Prinzinger et al. 1989
Aethopyga siparaja,6.8,0.53,N,P/I,TR,F,N,+/O,N,N,N,Prinzinger et al. 1989
Agelaius phoeniceus,43.1,1.74,N,I/S,T,W,N,+/O,N,N,N,Weathers 1981
Alaemon alaudipes,37.7,1.54,N,I,T,D,N,N,N,N,N,Tieleman et al. 2002
Alauda arvensis,31.7,2.6,N,I/S,T,G,N,Y,N,N,N,Tieleman et al. 2002
Alca torda,589,12.96,N,V/I,T,M,N,Y,N,N,N,Bryant & Furness 1995
Alle alle,152.5,7.4,D/N,AI,P,P,N,Y,N,N,N,Gabrielsen et al. 1991
Amadina erythrocephala,21.7,0.76,N,S/I,T/TR,G,N,N,N,N,N,McKechnie & Lovegrove 2003
Amadina fasciata,17.2,0.77,N,S/I,T/TR,O,N,N,N,N,N,Marschall & Prinzinger 1991
Amaurornis ineptus,856.6,4.83,N,O,TR,F,N,N,N,N,Y,McNab & Ellis 2006
Ammodramus savannarum,13.8,0.64,N,I/S,T,G,N,Y,N,N,N,Yarbrough 1971
Amphispiza bilineata,11.6,0.71,N,I/S,T,D,N,+/O,N,N,N,Weathers 1981
Andropodus curvirostris,23,1.06,N,F,TR,F,N,N,N,N,N,Seavy & McNab 2007
Andropodus latirostris,26.6,1.3,N,F,TR,F,N,N,N,N,N,Seavy & McNab 2007
Andropodus virens,24.2,1.19,N,F,TR,F,N,N,N,N,N,Seavy & McNab 2007
Anhinga anhinga,1040,11.49,N,V,TR,L/W,N,N,N,N,N,Hennemann 1983
Anthreptes orientalis,11.8,0.55,N,P/I,TR,O,N,N,N,N,N,Prinzinger et al. 1989
Anthus campestris,21.8,1.38,N,I,T,O,N,Y,N,N,N,Kendeigh et al. 1977
Anthus pratensis,18.9,1.08,N,I,T,O,N,+/O,N,N,N,Kendeigh et al. 1977
Anthus trivalis,19.7,1.22,N,I,T,O,N,Y,N,N,N,Kendeigh et al. 1977
Aptenodytes forsteri,"23,370",154.19,D,V,P,P,N,Y,N,N,Y,Pinshow et al. 1976
Aptenodytes patagonicus,"11,080",78.67,?,V,P,P,N,N,N,N,Y,Gavrilov 1977
Apteryx australis,3137,16.6,D,I,T,F,N,N,L,N,Y,McNab 1996
Apteryx haastii,2529,19.02,D,I,T,F,N,N,L,N,Y,McNab 1996
Apteryx owenii,1377,14.21,D,I,T,F,N,N,L,N,Y,McNab 1996
Apus apus,44.9,1.57,N,FI,T,D/G,Y,Y,N,N,N,Kendeigh et al. 1977
Aramides cajanea,374.3,5.55,D/N,O,TR,F,N,N,N,N,N,McNab & Ellis 2006
Arremonops conirostris,39.7,1.63,N,S,TR,F,N,N,N,N,N,Wiersma et al. 2007
Artamus maximus,60,1.99,N,FI,TR,O,N,N,N,Y,N,"McNab, pers. obs."
Astrapia stephaniae,148.2,5.8,D/N,F/I,TR,F,N,N,N,Y,N,McNab 2005
Atlantisia rogersi,39.4,0.81,N,O,T,G,N,N,S,N,Y,Ryan et al. 1989
Bebulcus ibis,299.2,4.74,D,O,T/TR,W/O,N,Y,N,N,N,Ellis 1980
Bombycilla garrulus,72.5,3.43,N,F/I,T,F,N,Y,N,N,N,Kendeigh et al. 1977
Callipepla californica,137.1,2.76,N,S/L,T,G,N,N,N,N,N,Hudson & Brush 1964
Callipepla gambelii,126.1,2.72,N,S,T,D,N,N,N,N,N,Weathers 1981
Camptostoma obsoletum,12.5,0.95,N,I,TR,B,N,N,N,N,N,Wiersma et al. 2007
Cardinalis cardinalis,41,1.81,N,I/S,T,B,N,N,N,N,N,Hinds & Calder 1973
Cardinalis sinuatus,32,1.41,N,I/S,T,B,N,N,N,N,N,Hinds & Calder 1973
Carduelis cannabina,16.9,1.22,N,S,T,B,N,+/O,N,N,N,Kendeigh et al. 1977
Carduelis carduelis,16.5,1.25,N,S,T,O,N,+/O,N,N,N,Kendeigh et al. 1977
Carduelis chloris,28.2,1.71,N,S,T,F,N,N,N,N,N,Kendeigh et al. 1977
Carduelis flammea,14.7,1.25,N,S,P,O,N,Y,N,N,N,Reinertsen & Haftorn 1986
Carduelis spinus,14,1.05,N,S,T,F,N,+/O,N,N,N,Kendeigh et al. 1977
Carduelis tristis,12.8,1.09,N,S,T,F/O,N,+/O,N,N,N,Dawson & Carey 1976
Carpodacus cassinii,27.4,1.22,N,S,T,F,N,+/O,N,Y,N,Weathers 1981
Carpodacus erythrinus,21.2,1.33,N,S/L,T,B,N,Y,N,N,N,Kendeigh et al. 1977
Carpodacus mexicanus,20.4,1.12,N,S,T,O,N,N,N,N,N,Weathers 1981
Celeus loricatus,83.1,2.47,N,I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Cepphus grille,342.2,10.92,D/N,AI,P,M,N,Y,N,N,N,Gabrielsen et al. 1991
Cercomacra tyrannina,15.4,0.68,N,I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Certhilauda erythrochlamys,27.3,1.5,N,I,T,D,N,N,N,N,N,Williams 1999
Chalcomitrak adelberti,9.5,0.63,N,P/I,TR,F,N,N,N,N,N,Prinzinger et al. 1989
Chalcomitrak amethystina,10,0.63,N,P/I,TR,F,N,+/O,N,N,N,Prinzinger et al. 1989
Chalcomitrak obscura,11.2,0.72,N,P/I,TR,F,N,N,N,N,N,Seavy 2006
Chalcomitrak rubescens,10,0.66,N,P/I,TR,F,N,N,N,N,N,Seavy 2006
Chalcomitrak senegalensis,13.7,0.86,N,P/I,TR,F/O,N,+/O,N,N,N,Seavy 2006
Chiroxiphia lanceolata,18.4,1.22,,F,TR,F,NA,N,N,N,N,Wiersma et al. 2007
Chloebia gouldiae,15.5,0.78,N,S,T,G,N,N,N,N,N,Marschall & Prinzinger 1991
Cicinnurus regius,54,2.1,N,F/I,TR,F,N,N,N,N,N,McNab 2005
Cinnyrisk bifiscatus,6.2,0.33,N,P/I,TR,B,N,+/O,N,N,N,Prinzinger et al. 1989
Cinnyrisk chloropygius,6.8,0.5,N,P/I,TR,B,N,+/O,N,N,N,Seavy 2006
Cinnyrisk cupreus,9,0.59,N,P/I,TR,F/O,N,+/O,N,N,N,Seavy 2006
Cinnyrisk minimus,5.5,0.42,N,P/I,TR,F,N,N,N,N,N,Seavy 2006
Cinnyrisk reichenowik,6.7,0.51,N,P/I,TR,F,N,+/O,N,Y,N,Seavy 2006
Cinnyrisk venustus,7.1,0.5,N,P/I,TR,F,N,+/O,N,Y,N,Prinzinger et al. 1989
Cnemophilus loriae,78.1,2.38,D/N+,F,TR,F,N,N,N,Y,N,McNab 2005
Cnemophilus macgregori,89,2.68,N,F,TR,F,N,N,N,Y,N,"McNab, pers. obs."
Cnipodectes subbrunneus,20.5,0.99,N,I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Coccothraustes coccothraustes,48.3,2.51,N,O,T,F,N,N,N,N,N,Kendeigh et al. 1977
Coccothraustes vespertina,54.5,2.71,N,S/N,T,F,N,+/O,N,Y,N,West & Hart 1966
Coereba flaveola,10,0.77,N,P,TR,F,N,N,I,N,N,Merola-Zwartjes 1998
Colius castanotus,69,1.66,N,F,TR,F,Y,N,N,N,N,Prinzinger et al. 1981
Colius colius,35.1,0.64,N,F,T,F,Y,N,N,N,N,McKechnie & Lovegrove 2001b
Colius striatus,51,0.85,N,F,TR,F,Y,N,N,N,N,McKechnie & Lovegrove 2001a
Collocalia esculenta,6.8,0.29,N,FI,TR,F,Y,N,N,N,N,McNab & Bonaccorso 1995
Collocalia vanikorensis,11.6,0.43,N,FI,TR,F,NA,N,N,N,N,McNab & Bonaccorso 1995
Contopus virens,13.9,0.93,N,FI,T,F,N,Y,N,N,N,Yarbrough 1971
Corvus corax,1203,19.8,N,O,T,O,N,N,N,N,N,Kendeigh et al. 1977
Corvus corone,518,11.93,N,O,T,O,N,N,N,N,N,Kendeigh et al. 1977
Corvus frugilegus,390,9.42,N,O,T,F/O,N,+/O,N,N,N,Kendeigh et al. 1977
Corvus monedula,188,6.19,N,O,T,O,N,N,N,N,N,Daan et al. 1990
Corvus ruficollis,660,12.23,N,V/I,T,D,N,N,N,N,N,Kendeigh et al. 1977
Crateroscelis nigrorufa,14.6,0.74,N,I,TR,F,N,N,N,Y,N,"McNab, pers. obs."
Crateroscelis robusta,17.3,0.91,N,I,TR,F,N,N,N,Y,N,"McNab, pers. obs."
Crex crex,96,2.83,N,O,T,G,N,Y,N,N,N,Kendeigh et al. 1977
Cyanerpes cyaneus,13.5,0.98,N,F/P,TR,B,N,N,N,N,N,Wiersma et al. 2007
Cyanocitta cristata,80.8,3,N,O,T,O,N,N,N,N,N,Misch 1960
Cyanocompsa cyanoides,27.9,1.35,N,F/S,TR,F,N,N,N,N,N,Wiersma et al. 2007
Cyanomitrak cyanolema,15.8,0.98,N,P/I,TR,F,N,N,N,N,N,Seavy 2006
Cyanomitrak veroxii,8.4,0.48,N,I,TR,F,N,N,N,N,N,Prinzinger et al. 1989
Cyanomitrak verticalis,14.1,0.9,N,P/I,TR,F,N,N,N,N,N,Seavy 2006
Delichon urbica,18,0.46,N,FI,T,O,Y,Y,N,N,N,Prinzinger & Hänssler 1980
Dendrocincla fuliginosa,39,1.77,N,I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Dendrocopus major,98,3.22,N,I,T,F,N,N,N,N,N,Kendeigh et al. 1977
Dendroica coronata,11.5,0.68,N,F/I,T,F,N,Y,N,N,N,Yarbrough 1971
Dendroica dominica,9.8,0.58,N,I,T,F,N,Y,N,N,N,Yarbrough 1971
Dendroica palmarum,9.8,0.56,N,I,T,O,N,Y,N,N,N,Yarbrough 1971
Dendroica petechia,12.2,0.5,N,I,TR,F,N,Y,N,N,N,Wiersma et al. 2007
Dendroica pinus,12,0.64,N,I,T,F,N,+/O,N,N,N,Yarbrough 1971
Diomedea chrysostoma,3753,30.63,N,AI,T,P,N,Y,N,N,N,Adams & Brown 1984
Diomedea exulans,8130,73.17,N,AI,T,P,N,Y,N,N,N,Brown & Adams 1984
Diphyllodesk magnificus,82.3,2.84,N,F/I,TR,F,N,N,N,N,N,McNab 2005
Dromaius novaehollandiae,"38,900",126.04,N,O,T,G,N,N,N,N,Y,Maloney & Dawson 1994
Egretta thula,314,4.89,D,V/AI,T/TR,W,N,Y,N,N,N,Ellis 1980
Egrettak caerulea,290.3,3.59,D,AI,T/TR,W,N,Y,N,N,N,Ellis 1980
Egrettak tricolor,309,6.12,D,V,T/TR,W,N,Y,N,N,N,Ellis 1980
Emberiza citrinella,26.8,1.57,N,S,T,O,N,+/O,N,N,N,Gavrilov & Dol’nik 1985
Emberiza hortulana,24.3,1.5,N,I,T,O,N,Y,N,N,N,Gavrilov & Dol’nik 1985
Emberiza schoeniclus,17.6,1.08,N,S,T,O,N,+/O,N,N,N,Kendeigh et al. 1977
